"","OTU","Phylum","Class","Order","Family","Subfamily","Genus","Species","Taxon Similarity","Sequences","Dereplicates","PreClusters","Dereplication Reduction (%)","Preclustering Reduction (%)","Length","GC Composition","MID","name"
"407","OTU5","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,21,1,1,95.24,0,458,39.52,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"408","OTU6","Arthropoda","Insecta","Coleoptera","Curculionidae","Platypodinae","Euplatypus","Euplatypus sp. 5YB",96.19,19,1,1,94.74,0,136,34.56,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"409","OTU7",NA,NA,NA,NA,NA,NA,NA,0,17,2,1,88.24,50,177.65,37.72,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"410","OTU8","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctiinae","Episcepsis","Episcepsis venata",90.37,11,1,1,90.91,0,458,29.91,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"411","OTU9",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"412","OTU10",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,148,37.84,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"413","OTU11",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,457,33.7,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"414","OTU1","Arthropoda","Insecta","Coleoptera","Rhipiceridae",NA,NA,NA,90.64,2373,37,6,98.44,83.78,455.42,40.17,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"415","OTU2",NA,NA,NA,NA,NA,NA,NA,0,664,19,1,97.14,94.74,457.31,36.7,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"416","OTU3","Arthropoda","Insecta","Diptera","Calliphoridae",NA,NA,NA,96.93,115,2,2,98.26,0,457.45,35.41,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"417","OTU4","Arthropoda","Insecta","Lepidoptera","Limacodidae","Limacodinae","Natada","Natada subpectinata",97.37,26,1,1,96.15,0,458,28.6,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"418","OTU5","Arthropoda","Insecta","Coleoptera","Curculionidae","Platypodinae","Euplatypus","Euplatypus sp. 5YB",96.19,22,2,2,90.91,0,135.77,34.62,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"419","OTU6","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,20,1,1,95,0,458,39.52,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"420","OTU7",NA,NA,NA,NA,NA,NA,NA,0,15,1,1,93.33,0,178,37.64,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"421","OTU8","Arthropoda","Insecta","Coleoptera","Carabidae","Paussinae",NA,NA,92.98,11,2,2,81.82,0,457.45,32.57,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"422","OTU9","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctiinae","Episcepsis","Episcepsis venata",90.37,10,1,1,90,0,458,29.91,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"423","OTU10","Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA,NA,97.8,10,2,2,80,0,457.5,34.32,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"424","OTU11",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,457,33.7,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"425","OTU12",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,178,34.83,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"426","OTU14",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,39.96,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"427","OTU15",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"428","OTU16",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,33.84,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"429","OTU13","Arthropoda","Insecta","Lepidoptera","Geometridae",NA,NA,NA,97.91,5,1,1,80,0,458,30.35,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"430","OTU1","Arthropoda","Insecta","Coleoptera","Rhipiceridae",NA,NA,NA,90.66,1955,34,8,98.26,76.47,454.69,40.18,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"431","OTU2",NA,NA,NA,NA,NA,NA,NA,0,528,11,1,97.92,90.91,457.57,36.71,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"432","OTU3","Arthropoda","Insecta","Diptera","Calliphoridae",NA,NA,NA,96.93,51,2,2,96.08,0,457.67,35.4,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"433","OTU4",NA,NA,NA,NA,NA,NA,NA,0,49,2,1,95.92,50,177.9,37.66,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"434","OTU5","Arthropoda","Insecta","Coleoptera","Curculionidae","Platypodinae","Euplatypus","Euplatypus sp. 5YB",96.19,33,2,2,93.94,0,135.79,34.61,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"435","OTU6","Arthropoda","Insecta","Lepidoptera","Limacodidae","Limacodinae","Natada","Natada subpectinata",97.37,16,1,1,93.75,0,458,28.6,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"436","OTU8","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,14,1,1,92.86,0,458,39.52,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"437","OTU7",NA,NA,NA,NA,NA,NA,NA,0,14,2,1,85.71,50,148.36,37.99,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"438","OTU9","Arthropoda","Insecta","Coleoptera","Carabidae","Paussinae",NA,NA,92.98,12,2,2,83.33,0,457.5,32.57,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"439","OTU10",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"440","OTU11",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,457,33.7,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"441","OTU12","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctiinae","Episcepsis","Episcepsis venata",90.37,6,1,1,83.33,0,458,29.91,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"442","OTU13",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,122,27.05,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"443","OTU1","Arthropoda","Insecta","Coleoptera","Rhipiceridae",NA,NA,NA,90.66,1955,34,8,98.26,76.47,454.69,40.18,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"444","OTU2",NA,NA,NA,NA,NA,NA,NA,0,528,11,1,97.92,90.91,457.57,36.71,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"445","OTU3","Arthropoda","Insecta","Diptera","Calliphoridae",NA,NA,NA,96.93,51,2,2,96.08,0,457.67,35.4,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"446","OTU4",NA,NA,NA,NA,NA,NA,NA,0,49,2,1,95.92,50,177.9,37.66,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"447","OTU5","Arthropoda","Insecta","Coleoptera","Curculionidae","Platypodinae","Euplatypus","Euplatypus sp. 5YB",96.19,33,2,2,93.94,0,135.79,34.61,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"448","OTU6","Arthropoda","Insecta","Lepidoptera","Limacodidae","Limacodinae","Natada","Natada subpectinata",97.37,16,1,1,93.75,0,458,28.6,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"449","OTU8","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,14,1,1,92.86,0,458,39.52,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"450","OTU7",NA,NA,NA,NA,NA,NA,NA,0,14,2,1,85.71,50,148.36,37.99,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"451","OTU9","Arthropoda","Insecta","Coleoptera","Carabidae","Paussinae",NA,NA,92.98,12,2,2,83.33,0,457.5,32.57,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"452","OTU10",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"453","OTU11",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,457,33.7,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"454","OTU12","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctiinae","Episcepsis","Episcepsis venata",90.37,6,1,1,83.33,0,458,29.91,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"455","OTU13",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,122,27.05,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"456","OTU1",NA,NA,NA,NA,NA,NA,NA,0,148,6,1,95.95,83.33,457.62,36.28,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"457","OTU2","Arthropoda","Insecta","Blattodea","Blaberidae",NA,NA,NA,94.49,123,5,5,95.93,0,457.91,35.38,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"458","OTU3",NA,NA,NA,NA,NA,NA,NA,0,61,2,1,96.72,50,191.11,36.16,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"459","OTU4",NA,NA,NA,NA,NA,NA,NA,0,51,2,1,96.08,50,106.9,27.13,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"460","OTU5","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,41,2,2,95.12,0,457.85,39.53,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"461","OTU6",NA,NA,NA,NA,NA,NA,NA,0,28,2,1,92.86,50,457.79,32.98,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"462","OTU8",NA,NA,NA,NA,NA,NA,NA,0,23,2,1,91.3,50,109.78,41.9,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"463","OTU7","Arthropoda","Insecta","Hemiptera","Coreidae",NA,NA,NA,96.26,23,1,1,95.65,0,458,37.12,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"464","OTU9","Arthropoda","Insecta","Coleoptera","Hydrophilidae",NA,NA,NA,93.37,17,3,3,82.35,0,197.12,36.53,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"465","OTU10",NA,NA,NA,NA,NA,NA,NA,0,12,1,1,91.67,0,107,29.91,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"466","OTU11",NA,NA,NA,NA,NA,NA,NA,0,11,1,1,90.91,0,128,30.47,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"467","OTU12",NA,NA,NA,NA,NA,NA,NA,0,10,1,1,90,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"468","OTU13","Arthropoda","Insecta","Lepidoptera","Oecophoridae",NA,"oecoBioLep01","oecoBiolep01 BioLep31",97.14,9,1,1,88.89,0,458,30.13,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"469","OTU14","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culex","Culex sp. 6 HY-2020",91.18,8,1,1,87.5,0,102,28.43,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"470","OTU15",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,238,33.19,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"471","OTU16",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,128,39.06,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"472","OTU17",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,196,36.73,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"473","OTU18",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,137,37.96,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"474","OTU19",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,222,39.19,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"475","OTU21",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,156,32.69,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"476","OTU20",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,137,36.5,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"477","OTU23","Arthropoda","Insecta","Lepidoptera","Depressariidae",NA,"elachBioLep01","elachBioLep01 BioLep5405",95.4,5,1,1,80,0,458,32.97,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"478","OTU22","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronictinae","Chalcoecia","Chalcoecia emessa",92.23,5,1,1,80,0,458,30.35,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"479","OTU1",NA,NA,NA,NA,NA,NA,NA,0,148,6,1,95.95,83.33,457.62,36.28,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"480","OTU2","Arthropoda","Insecta","Blattodea","Blaberidae",NA,NA,NA,94.49,123,5,5,95.93,0,457.91,35.38,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"481","OTU3",NA,NA,NA,NA,NA,NA,NA,0,61,2,1,96.72,50,191.11,36.16,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"482","OTU4",NA,NA,NA,NA,NA,NA,NA,0,51,2,1,96.08,50,106.9,27.13,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"483","OTU5","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,41,2,2,95.12,0,457.85,39.53,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"484","OTU6",NA,NA,NA,NA,NA,NA,NA,0,28,2,1,92.86,50,457.79,32.98,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"485","OTU8",NA,NA,NA,NA,NA,NA,NA,0,23,2,1,91.3,50,109.78,41.9,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"486","OTU7","Arthropoda","Insecta","Hemiptera","Coreidae",NA,NA,NA,96.26,23,1,1,95.65,0,458,37.12,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"487","OTU9","Arthropoda","Insecta","Coleoptera","Hydrophilidae",NA,NA,NA,93.37,17,3,3,82.35,0,197.12,36.53,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"488","OTU10",NA,NA,NA,NA,NA,NA,NA,0,12,1,1,91.67,0,107,29.91,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"489","OTU11",NA,NA,NA,NA,NA,NA,NA,0,11,1,1,90.91,0,128,30.47,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"490","OTU12",NA,NA,NA,NA,NA,NA,NA,0,10,1,1,90,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"491","OTU13","Arthropoda","Insecta","Lepidoptera","Oecophoridae",NA,"oecoBioLep01","oecoBiolep01 BioLep31",97.14,9,1,1,88.89,0,458,30.13,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"492","OTU14","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culex","Culex sp. 6 HY-2020",91.18,8,1,1,87.5,0,102,28.43,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"493","OTU15",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,238,33.19,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"494","OTU16",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,128,39.06,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"495","OTU17",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,196,36.73,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"496","OTU18",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,137,37.96,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"497","OTU19",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,222,39.19,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"498","OTU21",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,156,32.69,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"499","OTU20",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,137,36.5,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"500","OTU23","Arthropoda","Insecta","Lepidoptera","Depressariidae",NA,"elachBioLep01","elachBioLep01 BioLep5405",95.4,5,1,1,80,0,458,32.97,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"501","OTU22","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronictinae","Chalcoecia","Chalcoecia emessa",92.23,5,1,1,80,0,458,30.35,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"502","OTU1",NA,NA,NA,NA,NA,NA,NA,0,96,4,1,95.83,75,457.74,36.27,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"503","OTU2","Arthropoda","Insecta","Blattodea","Blaberidae",NA,NA,NA,94.27,72,2,2,97.22,0,457.69,35.39,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"504","OTU3",NA,NA,NA,NA,NA,NA,NA,0,45,2,1,95.56,50,191,36.01,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"505","OTU4",NA,NA,NA,NA,NA,NA,NA,0,38,1,1,97.37,0,107,27.1,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"506","OTU5","Arthropoda","Insecta","Hemiptera","Coreidae",NA,NA,NA,96.26,27,1,1,96.3,0,458,37.12,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"507","OTU8",NA,NA,NA,NA,NA,NA,NA,0,20,1,1,95,0,110,41.82,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"508","OTU6","Arthropoda","Insecta","Coleoptera","Hydrophilidae",NA,NA,NA,92.89,20,2,2,90,0,197.7,36.42,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"509","OTU7",NA,NA,NA,NA,NA,NA,NA,0,20,2,1,90,50,457.7,32.99,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"510","OTU9",NA,NA,NA,NA,NA,NA,NA,0,18,1,1,94.44,0,128,30.47,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"511","OTU10","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Rutelinae","Anomala",NA,94.74,16,3,3,81.25,0,456.63,34.82,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"512","OTU11","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,15,1,1,93.33,0,458,39.52,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"513","OTU12","Arthropoda","Insecta","Lepidoptera","Oecophoridae",NA,"oecoBioLep01","oecoBiolep01 BioLep31",97.14,12,2,2,83.33,0,457.58,30.16,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"514","OTU13",NA,NA,NA,NA,NA,NA,NA,0,11,2,1,81.82,50,457.09,30.85,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"515","OTU14","Arthropoda","Insecta","Coleoptera","Curculionidae","Platypodinae","Euplatypus","Euplatypus sp. 5YB",96.19,10,1,1,90,0,136,34.56,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"516","OTU15",NA,NA,NA,NA,NA,NA,NA,0,9,1,1,88.89,0,101,42.57,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"517","OTU16",NA,NA,NA,NA,NA,NA,NA,0,9,1,1,88.89,0,107,29.91,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"518","OTU17",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,156,32.69,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"519","OTU18",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,135,39.26,0,"MBR-CYB002.DNA-LT-ARM3-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
